iperf: 71.3 Gbit/s


packetSize	KB/s	kbit/s
32	5079	40632

64	9071	72568

128	17140	137120

256	26629	213032

512	39619	316952

1024	57231	457848

2048	63271	506168

4096	69648	557184

8192	77624	620992

16384	84709	677672

32768	87801	702408

65536	98072	784576

131072	95244	761952

262144	97505	780040



iperf: 98.3 Mbits/sec

packetSize kB/s    kbit/s
32	7217	57736

64	8670	69360

128	9740	77920

256	10375	83000

512	10871	86968

1024	11317	90536

2048	11317	90536

4096	11318	90544

8192	11318	90544

16384	11385	91080

32768	11420	91360

65536	11438	91504

131072	11449	91592

262144	11453	91624


IPerf: 911 Mbits/sec

packetSize kB/s    kbit/s
32	7626	61008

64	10948	87584

128	18384	147072

256	28367	226936

512	38913	311304

1024	57836	462688

2048	62171	497368

4096	67054	536432

8192	78712	629696

16384	83421	667368

32768	87530	700240

65536	87987	703896

131072	85739	685912

262144	87163	697304


Iperf: 10.1 Mbits/sec

packetSize kB/s    kbit/s
32	723	5784

64	868	6944

128	974	7792

256	1038	8304

512	1086	8688

1024	1130	9040

2048	1131	9048

4096	1132	9056

8192	1132	9056

16384	1131	9048

32768	1138	9104

65536	1143	9144

131072	1147	9176

262144	1152	9216



IPerf

49.2 Mbits/sec

packetSize kB/s    kbit/s
32	3616	28928

64	4333	34664

128	4865	38920

256	5185	41480

512	5433	43464

1024	5659	45272

2048	5656	45248

4096	5659	45272

8192	5657	45256

16384	5692	45536

32768	5706	45648

65536	5719	45752

131072	5726	45808

262144	5725	45800

